url,昵称,标题,性别,回答数目,关注者,文章,描述
https://www.zhihu.com/people/lao-yue-21/following,老岳,航空工程。,男,,2606,0,
https://www.zhihu.com/people/duncanzhang/following,Duncan Zhang,移动互联网、航空航天、通讯技术、军事技术的狂热爱好者,男,220,31234,0,
https://www.zhihu.com/people/hideinthewoods/following,Umika Chan,Psychology → HCI/UX,女,25,23407,0,
https://www.zhihu.com/people/hong-hong-38-50/following,洪霟,。,女,150,77255,13,
https://www.zhihu.com/people/tian-ji-shun/following,田吉顺,丁香医生，丁香妈妈,男,482,653536,115,
https://www.zhihu.com/people/Ning_Zhu/following,苎苧,,女,67,10597,5,
https://www.zhihu.com/people/yx-wh/following,杨微粒,Der Pfad führt ins Ungewisse.,男,487,2560,37,
https://www.zhihu.com/people/tao-miao-miao-70/following,桃喵喵,欲将心事付瑶琴。,女,72,23208,2,
https://www.zhihu.com/people/yang-ai-hong/following,杨爱红,炮塔越多越革命！,男,391,21291,0,
https://www.zhihu.com/people/hao-lee-17/following,hao Lee,狂人の真似とて大路を走らば、即ち狂人なり。,男,412,23922,2,
https://www.zhihu.com/people/Hemerocallis-Yu/following,喻忘忧,值乎打开有问题，求助请私信,女,421,118143,14,
https://www.zhihu.com/people/liu-hao-kun-i3/following,好困君,看了乱七八糟书，不做稀里糊涂人。,男,88,500,8,
https://www.zhihu.com/people/qing-lan-98/following,青岚,公众号和微博均是：人生冒险家青岚；知识星球（原小密圈）：青岚支招；,男,428,73663,37,
https://www.zhihu.com/people/ji-xuan-yi-9/following,姬轩亦,先为力胜,男,414,183289,18,
https://www.zhihu.com/people/li-jia-xuan-36-23/following,李嘉璇,《TensorFlow技术解析与实战》作者。个人微信：ljxtensorflow,女,25,4244,0,
https://www.zhihu.com/people/duo-duo-28-2/following,多多,,女,36,45,0,
https://www.zhihu.com/people/dake/following,狮子与金,blair,男,4,14906,0,
https://www.zhihu.com/people/jimtjlee/following,李天健,,男,39,4500,0,
https://www.zhihu.com/people/acel-rovsion/following,acel rovsion,所谓的开坑纯粹用签名更新而已，看书早开始看了。不用期待我了,男,634,66156,100,
https://www.zhihu.com/people/han-kun-history/following,寒鲲,微信订阅号和专栏都叫“寒砚笔记”,男,238,25258,66,
https://www.zhihu.com/people/herstoria/following,[已重置],,女,2,225,2,
https://www.zhihu.com/people/li-chao-zi-zi-yue/following,李超字子躍,已退乎。專心搞《全宋文》的掃描轉文字工作。各位有緣再見。,男,960,34937,19,
https://www.zhihu.com/people/xiao-wu-zhu-bu-xia/following,小屋住不下,政治制度不过是界面，工业体系才是硬件。,男,406,53169,7,
https://www.zhihu.com/people/xuxiaoteng/following,徐小疼,钢铁少女/小说/编剧/万籁工作室,女,600,115411,36,
https://www.zhihu.com/people/an-lin-76/following,巧克力猫安林,（傻白甜）奇迹调查员与弑神少女,女,144,18882,23,
https://www.zhihu.com/people/chen-nuo-64/following,陈诺,We fight for those who cannot.,女,289,34732,131,
https://www.zhihu.com/people/byqx321/following,白衣卿相,宁鸣而死，不默而生,女,34,50475,9,
https://www.zhihu.com/people/yinshoufu/following,殷守甫,在野武将,男,172,155044,4,
https://www.zhihu.com/people/moulang489/following,陈铠楠,一生真伪复谁知。,男,867,44201,56,
https://www.zhihu.com/people/mishisi/following,芈十四,生性多疑，唯不疑爱,女,345,191457,80,
https://www.zhihu.com/people/agoni-11/following,可能是个废柴吧,,男,7,5402,3,
https://www.zhihu.com/people/talich/following,talich,,男,1137,342151,216,
https://www.zhihu.com/people/lan-ming-zheng-51/following,兰明正,游方僧,女,125,2684,0,
https://www.zhihu.com/people/emma-9/following,章鱼小时候,法语学渣/跨境电商运营,女,4,11117,0,
https://www.zhihu.com/people/neopeking1943/following,Johann Faust,太初级，太单质，有时又太朴素。,男,847,34385,70,
